DOI Created|DOI Last Updated|Series|DOI of Final|Year Published|Month Published|Title|Authors|DOI|DURL
   2018-09-19T20:18:29Z|2018-09-19T20:20:59Z|IR||2018|09|NIST Scientific Foundation Reviews|Butler, John M.|10.6028/NIST.IR.8225-draft|https://nvlpubs.nist.gov/nistpubs/ir/2018/NIST.IR.8225-draft.pdf
   2018-09-19T20:22:44Z|2018-09-19T20:22:44Z|IR||2018|09|Considerations for Managing Internet of Things (IoT) Cybersecurity and Privacy Risks|Scarfone, Karen|10.6028/NIST.IR.8228-draft|https://nvlpubs.nist.gov/nistpubs/ir/2018/NIST.IR.8228-draft.pdf
   2018-10-31T13:29:46Z|2018-10-31T13:29:47Z|SP||2018|10|Proposed Standard Terminology for Robotic Hands and Associated Performance Metrics|Falco, Joe; Van Wyk, Karl; Messina, Elena|10.6028/NIST.SP.1229-draft|https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.1229-draft.pdf
   2018-10-31T13:29:46Z|2018-10-31T13:29:48Z|SP||2018|10|Performance Metrics and Test Methods for Robotic Hands|Falco, Joe; Van Wyk, Karl; Messina, Elena|10.6028/NIST.SP.1227-draft|https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.1227-draft.pdf
   2018-11-29T14:15:32Z|2018-11-29T14:15:33Z|IR||2018|11|Security Analysis of the Personal Area Network: The Future of Public Safety Technology|Franklin, Joshua|10.6028/NIST.IR.8196-draft|https://nvlpubs.nist.gov/nistpubs/ir/2018/NIST.IR.8196-draft.pdf
   2018-12-12T20:35:14Z|2018-12-14T20:10:59Z|SP||2018|12|Secure Interdomain Traffic Exchange|Sriram, Kotikalapudi|10.6028/NIST.SP.800-189-draft|https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-189-draft.pdf
   2019-02-12T20:57:41Z|2019-02-12T20:57:42Z|SP||2019|02|Attribute Considerations for Access Control Systems|Hu, Vincent C.|10.6028/NIST.SP.800-205-draft|https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-205-draft.pdf
   2019-02-28T14:21:48Z|2019-02-28T14:21:48Z|SP||2019|02|Recommendation for Block Cipher Modes of OperationMethods for Format-Preserving Encryption|Dworkin, Morris|10.6028/NIST.SP.800-38Gr1-draft|https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-38Gr1-draft.pdf
   2019-03-06T15:04:27Z|2019-03-06T15:04:27Z|SP||2019|03|Recommendation for Cryptographic Key Generation|Barker, Elaine|10.6028/NIST.SP.800-133r1-draft|https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-133r1-draft.pdf
   2019-03-25T15:41:08Z|2019-03-25T15:41:09Z|SP||2019|03|Security Strategies for Microservices-based Application Systems|Chandramouli, Ramaswamy|10.6028/NIST.SP.800-204-draft|https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-204-draft.pdf
   2019-04-08T15:08:05Z|2019-04-08T15:08:05Z|SP||2018|12|Return on investment initiative for unleashing American innovation||10.6028/NIST.SP.1234-draft|https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.1234-draft.pdf
   2019-05-28T10:46:36Z|2019-05-28T10:46:36Z|IR||2019|05|Cybersecurity Framework Manufacturing Profile Low Security Level Example Implementations GuideVolume 1 - General Implementation Guidance|Cichonski, Jeff|10.6028/NIST.IR.8183A-1-draft|https://nvlpubs.nist.gov/nistpubs/ir/2019/NIST.IR.8183A-1-draft.pdf
   2019-05-28T10:46:36Z|2019-05-28T10:46:39Z|IR||2019|05|Cybersecurity Framework Manufacturing Profile Low Security Level Example Implementations GuideVolume 2 - Process-based Manufacturing System Use Case|Cichonski, Jeff|10.6028/NIST.IR.8183A-2-draft|https://nvlpubs.nist.gov/nistpubs/ir/2019/NIST.IR.8183A-2-draft.pdf
   2019-05-28T10:46:36Z|2019-05-28T10:46:40Z|IR||2019|05|Cybersecurity Framework Manufacturing Profile Low Security Level Example Implementations GuideVolume 3 - Discrete-based Manufacturing System Use Case|Cichonski, Jeff|10.6028/NIST.IR.8183A-3-draft|https://nvlpubs.nist.gov/nistpubs/ir/2019/NIST.IR.8183A-3-draft.pdf
   2019-04-25T16:08:24Z|2019-04-25T16:08:25Z|IR||2019|04|Randomness Beacon Format 2.0||10.6028/NIST.IR.8213-draft|https://nvlpubs.nist.gov/nistpubs/ir/2019/NIST.IR.8213-draft.pdf
   2019-07-02T14:07:09Z|2019-07-02T14:07:12Z|SP||2019|07|Guide to IPsec VPNsRevision 1||10.6028/NIST.SP.800-77r1-draft|https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-77r1-draft.pdf
